1,0,4381,1258,2220,1338,55,51,304
2,0,1992,1426,1034,2064,118,28,199
3,0,3703,1802,1282,1052,73,63,265
4,0,1977,893,2887,1105,78,25,269
5,0,2074,3367,1908,1776,10,41,30
6,0,2251,1914,1984,2170,31,14,45
7,0,2074,3367,1908,1776,67,41,30
8,0,1401,2140,2878,1101,11,72,325
9,0,3223,681,3131,1120,119,12,210
10,0,2069,1258,2282,1733,61,40,76
11,0,975,3526,1145,3097,75,14,212
12,0,4329,1477,4714,1640,107,15,346
13,0,2879,2956,2590,2412,20,16,47
14,0,4329,1477,4714,1640,95,15,346
15,0,975,3526,1145,3097,54,14,212
16,0,2663,2228,1971,1518,109,30,114
17,0,2289,1785,3080,1781,114,18,209
18,0,1207,2075,1090,1935,114,8,96
19,0,2033,1831,2564,2210,6,19,88
20,0,2023,385,2075,648,88,12,148
21,0,1996,1741,1413,1804,35,16,97
22,0,1291,1868,2214,1665,83,22,147
23,0,2059,933,2540,1284,54,16,174
24,0,2070,1785,2887,1105,51,30,260
25,0,2070,1785,2887,1105,11,30,260
26,0,4874,2835,4736,1663,35,25,321
27,0,2254,644,2107,1538,65,23,72
28,0,2876,1104,1796,1252,11,41,162
29,0,502,2155,2257,1729,59,43,228
30,0,2888,1101,2078,1593,44,40,130
31,0,2363,1817,4736,1663,22,56,545
32,0,2887,1106,1508,628,91,39,226
33,0,2877,1096,2392,650,57,22,223
34,0,2877,1096,2392,650,112,22,223
35,0,2887,1106,1960,1296,71,27,159
36,1,1975,1754,559,2204,81,31,306
37,1,3137,2284,2887,1105,44,29,203
38,1,2258,433,2547,770,85,16,207
39,1,2429,1541,1913,1722,40,19,71
40,1,1812,270,2006,248,99,9,195
41,1,2138,1618,2139,1438,12,8,70
42,1,1869,1699,2658,2440,65,30,101
43,1,2215,1375,2428,1084,106,12,156
44,2,3582,2493,3455,2448,115,8,113
45,2,240,2055,273,3648,62,32,341
46,2,2067,1419,1992,1457,37,9,61
47,2,1771,1008,2120,676,88,14,179
48,2,1973,1994,1481,2061,66,16,107
49,2,2574,1602,3147,2471,116,26,125
50,2,1955,1977,1822,1705,115,12,25
51,2,770,2517,982,1906,88,18,114
52,2,2543,1885,2504,1695,62,9,85
53,3,953,893,1985,1713,10,32,130
54,3,2635,2150,2245,2165,30,16,47
55,3,1800,1751,1841,1148,39,16,73
56,3,3270,2405,2720,2301,109,16,97
